k_tp,k_sl,max_days,total_trades,hit_rate,avg_win,avg_loss,total_return,ann_return,sharpe,max_drawdown,avg_hold_days,tp_exits,sl_exits,time_exits,expectancy
0.5,1.0,21,351,0.5783475783475783,0.06043812182971994,-0.09667662725863173,-0.8185201610017675,-0.4538571363916617,-2.6703238548346198,-0.8207569571242368,12.777777777777779,164,75,112,-0.005809692600696151
0.5,0.75,21,382,0.5523560209424084,0.06064936317466259,-0.09198227306984685,-0.8276642353859126,-0.4637735299706054,-2.7288464317573333,-0.8296093095262695,11.68324607329843,176,114,92,-0.007675269803900528
0.5,1.5,21,321,0.5950155763239875,0.06186491358600323,-0.09976367994804324,-0.8470069392251734,-0.4859292511398349,-2.808842934500883,-0.8490448664226599,14.037383177570094,157,31,133,-0.0035921492159470617
0.5,2.0,21,305,0.5836065573770491,0.0602800981409603,-0.09358519491281941,-0.8544703659906703,-0.49496141445177544,-2.8494359610769417,-0.8579426162630863,14.770491803278688,144,14,147,-0.0037884009338922386
0.5,0.75,15,525,0.5428571428571428,0.055108515965067335,-0.07307792155955134,-0.8835984223584409,-0.5333970863523889,-3.14232280605576,-0.8852583906261126,8.902857142857142,231,149,145,-0.0034909983319012065
0.5,1.0,15,495,0.5636363636363636,0.055637091907098764,-0.07600761397533803,-0.887361610738034,-0.538800463926259,-3.1677926943294863,-0.889245956149781,9.71111111111111,223,97,175,-0.0018078706597827524
0.4,1.0,21,382,0.5942408376963351,0.05326600549355554,-0.09519519301311079,-0.8609288832485475,-0.5030220228579987,-3.252974293819182,-0.8626429785244428,11.565445026178011,196,80,106,-0.006973486047107499
0.4,2.0,21,328,0.6097560975609756,0.05121420307479727,-0.09392356491337785,-0.8767871749567614,-0.5238970957215594,-3.285336195535955,-0.8793310551907809,13.603658536585366,169,15,144,-0.005424925896197901
0.5,1.5,15,473,0.5708245243128964,0.055677360636351994,-0.07586421319378292,-0.902266336549713,-0.5614279260535613,-3.308847734705883,-0.9041082462433518,10.543340380549683,217,43,213,-0.0007770568848264117
0.4,0.75,21,417,0.5779376498800959,0.054198248973794404,-0.09134365736632666,-0.8705840234330475,-0.5155359761634041,-3.3172121782543083,-0.8720446817585734,10.479616306954437,214,120,83,-0.007229510057048062
0.4,1.5,21,348,0.6120689655172413,0.05191809963215334,-0.09670858787005734,-0.885309901615319,-0.5358403151796741,-3.3431240441333294,-0.8870972069415737,12.778735632183908,182,34,132,-0.005738805002324952
0.4,0.75,15,557,0.5745062836624776,0.049234050004332085,-0.07307046166167742,-0.9005387149122903,-0.5586957092573794,-3.41503674332321,-0.9012789550050875,8.170556552962298,276,150,131,-0.002805751189284167
0.5,2.0,15,458,0.5676855895196506,0.05464814678088143,-0.07338453044200118,-0.9130870050280508,-0.5792933344397018,-3.443392805372553,-0.9145716112099944,10.993449781659388,204,22,232,-0.000702224594949917
0.5,0.75,10,712,0.5491573033707865,0.046073765313323085,-0.0571332355699362,-0.9141392055655336,-0.5811056309764305,-3.4540253207234155,-0.9149623759905179,6.188202247191011,301,189,222,-0.00045635727589915173
0.4,1.0,15,525,0.6057142857142858,0.04918863564722264,-0.07690210702916954,-0.904689545337358,-0.5653132579786486,-3.470166489829969,-0.9061709464958561,8.862857142857143,272,97,156,-0.0005271428937548422
0.4,1.5,15,502,0.6195219123505976,0.04979309062581679,-0.0757002283427846,-0.9131757619869811,-0.5794456594602333,-3.4993330974511863,-0.9141636045426997,9.661354581673306,265,42,195,0.002045632611866858
0.3,2.0,21,371,0.6630727762803235,0.04714941369114082,-0.09786035552288841,-0.8919312967902291,-0.545520914043909,-3.5008232385412836,-0.8933155943142994,11.81132075471698,227,14,130,-0.0017083252623730713
0.4,2.0,15,491,0.6130346232179226,0.050021287675201545,-0.07384376968244487,-0.9215343389522617,-0.5942664841651213,-3.6261625524307903,-0.9223992729460041,9.961303462321792,258,21,212,0.0020897990846662703
0.3,1.0,21,433,0.6443418013856813,0.04657256403121723,-0.0994048713679977,-0.9027426826097622,-0.5621867392072362,-3.6394878564946764,-0.9031964831531806,9.914549653579677,259,75,99,-0.0053455076812056294
0.3,1.5,21,388,0.654639175257732,0.04718350653759605,-0.1003466376595164,-0.9075164675873412,-0.5699273589109444,-3.6527614074785735,-0.9080165215363238,11.244845360824742,235,29,124,-0.0037676257366644345
0.5,1.0,10,678,0.5619469026548672,0.04540300490042719,-0.061835222407884555,-0.9239864818223201,-0.5988066615733876,-3.6592377276474775,-0.9247525318104728,6.765486725663717,286,133,259,-0.0015730327257801671
0.3,0.75,21,469,0.6247334754797441,0.04665637003508224,-0.09262232017651066,-0.9021803529216733,-0.5612912097793934,-3.754578030847649,-0.9026367772832772,9.106609808102345,275,119,75,-0.0056102599803556155
0.5,2.0,10,644,0.5714285714285714,0.04634278528556022,-0.05924369166339089,-0.9433600905416271,-0.6385329189549767,-3.8242506930292115,-0.9439308969325132,7.543478260869565,275,26,343,0.0010914380217240255
0.4,0.75,10,743,0.5720053835800808,0.04145025405768949,-0.057953905458982706,-0.9306069387206773,-0.6115570832753225,-3.832112840822732,-0.931272228578761,5.698519515477793,356,193,194,-0.0010941910651930883
0.2,1.5,21,430,0.6976744186046512,0.038569997052159445,-0.09640990883197362,-0.9233396072126325,-0.597599890549299,-3.8596778716630635,-0.9244657849865215,9.797674418604652,287,27,116,-0.0022378814709505465
0.2,2.0,21,424,0.7122641509433962,0.03788228266485033,-0.09634414817376975,-0.9242162276898248,-0.5992368569319904,-3.893291084779396,-0.9247097618629748,9.910377358490566,290,13,121,-0.0007394733783375219
0.3,1.0,15,573,0.6509598603839442,0.041373241953989795,-0.07694693013058658,-0.9320118448438484,-0.6143628400199734,-3.900572590718664,-0.9327612843538349,7.734729493891797,345,96,132,7.475257019350437e-05
0.3,0.75,15,605,0.628099173553719,0.04126593954189341,-0.07504962650525424,-0.9294008031817361,-0.609177406968419,-3.9170438487760544,-0.9299262373339098,7.110743801652893,351,151,103,-0.0019919155996077804
0.5,1.5,10,653,0.5696784073506891,0.045121436814742406,-0.06210076038528987,-0.9405369362871269,-0.6322471911195837,-3.9253314336333984,-0.9411361938974153,7.283307810107198,275,62,316,-0.001018589851733965
0.3,1.5,15,546,0.6703296703296703,0.04228789283360836,-0.07819105545085903,-0.9397472250684566,-0.6305235147516377,-3.9450988358440124,-0.9403555557304284,8.401098901098901,340,41,165,0.002569558234333396
0.3,2.0,15,536,0.6716417910447762,0.04210699008500946,-0.0761478395873506,-0.9452294204317184,-0.6428070706199355,-3.960543940195685,-0.9457824011527426,8.638059701492537,333,20,183,0.0032770460134882544
0.15,2.0,21,458,0.7489082969432315,0.03165281859448908,-0.09608521806720771,-0.9320355607272289,-0.614410523151693,-3.9994947026260292,-0.9326183766426879,9.004366812227074,335,13,110,-0.000421142576024304
0.4,1.0,10,706,0.5892351274787535,0.04035803480544241,-0.06267951526563736,-0.9401421557699826,-0.6313836817386329,-4.029964620601643,-0.9407160289492142,6.254957507082153,343,133,230,-0.0019661713144062294
0.2,1.0,21,490,0.6959183673469388,0.03834515660401757,-0.10012725879548803,-0.9307171636541457,-0.6117758819826471,-4.039682866735867,-0.9313537377119183,8.428571428571429,330,81,79,-0.0037617615480769855
0.15,1.5,21,485,0.756701030927835,0.033016242248737455,-0.09879312152060792,-0.9369690812765737,-0.6245731411034575,-4.074454742686604,-0.9375095907399208,8.420618556701031,360,28,97,0.0009471599295977559
0.4,2.0,10,670,0.5985074626865672,0.04115553305989585,-0.06025150503400224,-0.9549772671425594,-0.6667767159044011,-4.156023734651867,-0.9554089121370452,7.035820895522388,327,23,320,0.000441364034136766
0.2,0.75,21,537,0.6871508379888268,0.03799875394579393,-0.09285473400779175,-0.9362934567025215,-0.6231517563343721,-4.262885395289665,-0.9370283730560185,7.558659217877095,355,121,61,-0.0029386501067244913
0.4,1.5,10,677,0.5937961595273265,0.040422939093789585,-0.061966994501447374,-0.9526242663774686,-0.6607055218659093,-4.279967940406739,-0.9530784702202919,6.825701624815362,326,58,293,-0.0011682451583376885
0.15,1.0,21,536,0.7350746268656716,0.03279489109120862,-0.1008738471833743,-0.9429437514892318,-0.6375934189801284,-4.365541235316385,-0.9434463424389272,7.509328358208955,390,78,68,-0.0026173492725801474
0.3,0.75,10,787,0.6086404066073697,0.03588245406876713,-0.05874685220164272,-0.9518866964725613,-0.6588426389575128,-4.434494783944607,-0.9522114198825326,5.02287166454892,432,194,161,-0.0011516327562471444
0.2,1.0,15,629,0.7027027027027027,0.03467541310895581,-0.0805801575471801,-0.9509296837781178,-0.6564527865961773,-4.464113595626161,-0.9515308414410301,6.618441971383148,427,93,109,0.0004102434544289227
0.2,2.0,15,585,0.7145299145299145,0.03461123722441412,-0.0791418977364047,-0.9581868465510888,-0.6753978324852845,-4.490942557964326,-0.9586598811583334,7.482051282051282,404,20,161,0.0021381200646590076
0.2,1.5,15,599,0.7145242070116862,0.03472571016407986,-0.08156276545859087,-0.9552675858372138,-0.667539875970109,-4.502118308049717,-0.9557736462086339,7.217028380634391,414,40,145,0.001528165370295733
0.3,1.0,10,748,0.6270053475935828,0.03559119467999892,-0.06360818767119897,-0.955830777350084,-0.669029504139895,-4.54908401592178,-0.956128881606976,5.55614973262032,419,132,197,-0.001409644459017409
0.3,2.0,10,708,0.6384180790960452,0.035699167130918835,-0.06050760364373775,-0.9665856499728039,-0.7001962788928353,-4.5563298050030445,-0.9668111680912308,6.309322033898305,402,22,284,0.0009125381502520478
0.15,0.75,21,593,0.7200674536256324,0.032899978126988874,-0.09403541187143645,-0.94930182177058,-0.6524558776080307,-4.5566902998871015,-0.9497053330476081,6.600337268128162,420,123,50,-0.0026333688202937605
0.2,0.75,15,670,0.6880597014925374,0.03407437212561412,-0.07918753530513889,-0.9536266785012528,-0.6632675789438001,-4.5700128604778145,-0.9538396268177385,5.997014925373135,448,143,79,-0.00125658108785957
0.3,1.5,10,718,0.6350974930362117,0.03515711317382714,-0.06330769557518053,-0.9646856600528443,-0.6942617646458433,-4.615981521487745,-0.9649240014687894,6.066852367688022,405,55,258,-0.0007729423863957197
0.15,1.5,15,637,0.7456828885400314,0.0306166867524981,-0.08249921193254621,-0.9631334230536994,-0.6895646822454247,-4.686921359071952,-0.9632512699847576,6.577708006279435,469,38,130,0.0018493781387191703
0.15,2.0,15,624,0.7467948717948718,0.030640508994297377,-0.08123950382040289,-0.9636517401201976,-0.6911186659181687,-4.705280883745047,-0.96376793020973,6.793269230769231,460,20,144,0.0023119160059598097
0.15,1.0,15,674,0.7344213649851632,0.03038126461945857,-0.08458009353181106,-0.9602341470711832,-0.6811224794439017,-4.7432865404210345,-0.9604372562049438,5.9183976261127595,489,96,89,-0.0001500159578074027
0.15,0.75,15,715,0.7216783216783217,0.030324541462881847,-0.08098328448138785,-0.9599049263344939,-0.6801892791876523,-4.765242416841458,-0.9601097170048927,5.313286713286713,512,144,59,-0.0006548394642645408
0.2,0.75,10,832,0.6550480769230769,0.030407780764801093,-0.061768626682836565,-0.9653607208064261,-0.6963461222404601,-4.8843291334231935,-0.9655694629857181,4.361778846153846,516,194,122,-0.0013886482465835376
0.2,1.0,10,792,0.6755050505050505,0.0299133198500913,-0.06708390593823085,-0.9688661883585314,-0.7076145549524313,-5.003197802547701,-0.969227422347973,4.837121212121212,503,133,156,-0.0015617900332405114
0.15,0.75,10,860,0.6755813953488372,0.027773378328046244,-0.06356615568679178,-0.9678351300080638,-0.704218665070085,-5.016013157801794,-0.9679444074435155,4.024418604651163,560,197,103,-0.0018588658465349267
0.2,1.5,10,763,0.6841415465268676,0.029616626615287085,-0.06613128662847985,-0.9750319195908596,-0.7296137443517601,-5.068092326627055,-0.9752510408059384,5.328964613368283,489,54,220,-0.0006261611851687866
0.2,2.0,10,754,0.6883289124668435,0.029536396924456348,-0.06343375038992244,-0.9763235004786006,-0.7346563297294855,-5.143063406439938,-0.9765312867104186,5.518567639257294,487,22,245,0.0005602900028661394
0.15,1.0,10,819,0.6959706959706959,0.0275752985137073,-0.06898759885003795,-0.9711464882897765,-0.7153916531640733,-5.144467215712188,-0.9714062658126494,4.465201465201465,548,135,136,-0.001782651966845291
0.15,1.5,10,791,0.706700379266751,0.02733083868643838,-0.0680636814508874,-0.9767191613709262,-0.7362364976172979,-5.198888256541874,-0.9768626142626633,4.921618204804045,536,55,200,-0.0006483378898695519
0.15,2.0,10,780,0.7076923076923077,0.027252550315941114,-0.06519677047372296,-0.9782703309067639,-0.7426044091279187,-5.2657770532018,-0.9784042257340758,5.133333333333334,529,23,228,0.00022890270050084788
